model,memory (MB),PQ,PQ_th,PQ_st,parameters,train_time (396),inf_time (400),delta_parameters,color
baseline,10944,43.308,50.4251,32.5661,64691494,,32.94898844,0,#9c9c9c
BPTT1,11963,43.519,50.505,32.9735,63907942,,31.17703658,783552,#d68383
BPTT3,15384,43.4917,50.5603,32.822,63907942,,35.91030991,783552,#d44646
CBP20,13972,43.6168,50.6499,33.0006,63907942,,59.88823485,783552,#004099
RBP20,14000,43.5169,50.5019,32.9736,63907942,,59.9,783552,#a632a8
